"Bus","Direction","coord_x","coord_y","Arret","Code"
"13","Simonis","50.813199","4.324849","UZ Brussel","1074"
"13","Simonis","0.0","0.0","Laerbeek","4070"
"13","Simonis","50.844659","4.359615","Pompiers","1003"
"13","Simonis","0.0","0.0","Arbre Ballon-Heymbosch","4226"
"13","Simonis","0.0","0.0","Demunter","1081"
"13","Simonis","0.0","0.0","Liebrecht","1004"
"13","Simonis","50.846832","4.356626","Schuermans","1005"
"13","Simonis","50.866609","4.375391","Dieleghem","1006"
"13","Simonis","50.866411","4.375226","Bonaventure","1007"
"13","Simonis","0.0","0.0","Reniers","1008"
"13","Simonis","0.0","0.0","Eugene Toussaint","1009"
"13","Simonis","50.878265","4.321409","Le Roux","1010"
"13","Simonis","0.0","0.0","Legrelle","1027"
"13","Simonis","50.866192","4.338672","Bruxellois","1013"
"13","Simonis","50.871012","4.324470","Miroir","1014"
"13","Simonis","50.867911","4.326561","Broustin","6805"
"13","Simonis","50.865071","4.328340","Parc Elisabeth","4116"
"13","UZ Brussel","50.863355","4.330671","Simonis","1183"
"13","UZ Brussel","50.868292","4.326501","Broustin","6864"
"13","UZ Brussel","50.871282","4.324371","Miroir","6865"
"13","UZ Brussel","50.887490","4.378208","Bruxellois","1062"
"13","UZ Brussel","50.845100","4.359617","Legrelle","1000"
"13","UZ Brussel","50.879155","4.321791","Le Roux","1065"
"13","UZ Brussel","50.881187","4.321846","Eugene Toussaint","1066"
"13","UZ Brussel","0.0","0.0","Reniers","1067"
"13","UZ Brussel","50.889929","4.381395","Bonaventure","1068"
"13","UZ Brussel","50.889837","4.380858","Soetens","1069"
"13","UZ Brussel","0.0","0.0","Schuermans","1070"
"13","UZ Brussel","0.0","0.0","Liebrecht","1026"
"13","UZ Brussel","0.0","0.0","Demunter","1080"
"13","UZ Brussel","0.0","0.0","Arbre Ballon-Heymbosch","4224"
"13","UZ Brussel","0.0","0.0","Pompiers","1075"
"13","UZ Brussel","0.0","0.0","Laerbeek","4225"
"14","Gare du Nord","50.813199","4.324849","UZ Brussel","1074"
"14","Gare du Nord","50.813061","4.324730","Dieleghem","1078"
"14","Gare du Nord","0.0","0.0","De Rivieren","1079"
"14","Gare du Nord","0.0","0.0","Legrelle","1027"
"14","Gare du Nord","50.866192","4.338672","Bruxellois","1013"
"14","Gare du Nord","50.871012","4.324470","Miroir","1014"
"14","Gare du Nord","50.867911","4.326561","Broustin","6805"
"14","Gare du Nord","50.865071","4.328340","Parc Elisabeth","4116"
"14","Gare du Nord","0.0","0.0","Simonis","1025"
"14","Gare du Nord","0.0","0.0","Belgica","5009"
"14","Gare du Nord","0.0","0.0","Vanderstichelen","5011"
"14","Gare du Nord","50.864062","4.344119","Picard","1019"
"14","Gare du Nord","0.0","0.0","Tour et Taxis","1020"
"14","Gare du Nord","50.867597","4.336128","Armateurs","1021"
"14","Gare du Nord","0.0","0.0","Willebroek","1016"
"14","Gare du Nord","0.0","0.0","WTC","1022"
"14","Gare du Nord","0.0","0.0","Gare du Nord","1023"
"14","UZ Brussel","50.860080","4.360273","Gare du Nord","1900"
"14","UZ Brussel","0.0","0.0","Gare du Nord","1030"
"14","UZ Brussel","0.0","0.0","WTC","1052"
"14","UZ Brussel","0.0","0.0","Willebroek","1051"
"14","UZ Brussel","50.899278","4.399029","Armateurs","1054"
"14","UZ Brussel","50.865946","4.338822","Tour et Taxis","1055"
"14","UZ Brussel","50.864456","4.343166","Picard","1056"
"14","UZ Brussel","0.0","0.0","Vanderstichelen","5074"
"14","UZ Brussel","0.0","0.0","Belgica","5076"
"14","UZ Brussel","50.898577","4.402396","Flessingue","1053"
"14","UZ Brussel","50.863355","4.330671","Simonis","1183"
"14","UZ Brussel","50.868292","4.326501","Broustin","6864"
"14","UZ Brussel","50.871282","4.324371","Miroir","6865"
"14","UZ Brussel","50.887490","4.378208","Bruxellois","1062"
"14","UZ Brussel","50.845100","4.359617","Legrelle","1000"
"14","UZ Brussel","0.0","0.0","De Rivieren","4065"
"14","UZ Brussel","0.0","0.0","Dieleghem","4064"
"15","UZ Brussel","50.860080","4.360273","Gare du Nord","1900"
"15","UZ Brussel","0.0","0.0","Gare du Nord","1030"
"15","UZ Brussel","0.0","0.0","WTC","1052"
"15","UZ Brussel","0.0","0.0","Willebroek","1051"
"15","UZ Brussel","50.899278","4.399029","Armateurs","1054"
"15","UZ Brussel","50.865946","4.338822","Tour et Taxis","1055"
"15","UZ Brussel","50.864456","4.343166","Picard","1056"
"15","UZ Brussel","0.0","0.0","Vanderstichelen","5074"
"15","UZ Brussel","0.0","0.0","Belgica","5076"
"15","UZ Brussel","50.898577","4.402396","Flessingue","1053"
"15","UZ Brussel","50.863355","4.330671","Simonis","1183"
"15","UZ Brussel","50.868292","4.326501","Broustin","6864"
"15","UZ Brussel","50.871282","4.324371","Miroir","6865"
"15","UZ Brussel","50.887490","4.378208","Bruxellois","1062"
"15","UZ Brussel","50.845100","4.359617","Legrelle","1000"
"15","UZ Brussel","50.876241","4.317873","Square du Centenaire","9103"
"15","UZ Brussel","50.879155","4.321791","Le Roux","1065"
"15","UZ Brussel","50.881187","4.321846","Eugene Toussaint","1066"
"15","UZ Brussel","0.0","0.0","Reniers","1067"
"15","UZ Brussel","50.889929","4.381395","Bonaventure","1068"
"15","UZ Brussel","50.889837","4.380858","Soetens","1069"
"15","UZ Brussel","0.0","0.0","Schuemans","1070"
"15","UZ Brussel","0.0","0.0","Liebrecht","1026"
"15","UZ Brussel","0.0","0.0","Demunter","1080"
"15","UZ Brussel","0.0","0.0","Arbre Ballon-Heymbosch","4224"
"15","UZ Brussel","0.0","0.0","Pompiers","1075"
"15","UZ Brussel","0.0","0.0","Laerbeek","4225"
"15","Gare du Nord","50.813199","4.324849","UZ Brussel","1074"
"15","Gare du Nord","0.0","0.0","Laerbeek","4070"
"15","Gare du Nord","50.844659","4.359615","Pompiers","1003"
"15","Gare du Nord","0.0","0.0","Arbre Ballon-Heymbosch","4226"
"15","Gare du Nord","0.0","0.0","Demunter","1081"
"15","Gare du Nord","0.0","0.0","Liebrecht","1004"
"15","Gare du Nord","50.846832","4.356626","Schuemans","1005"
"15","Gare du Nord","50.866609","4.375391","Dieleghem","1006"
"15","Gare du Nord","50.866411","4.375226","Bonaventure","1007"
"15","Gare du Nord","0.0","0.0","Reniers","1008"
"15","Gare du Nord","0.0","0.0","Eugene Toussaint","1009"
"15","Gare du Nord","50.878265","4.321409","Le Roux","1010"
"15","Gare du Nord","0.0","0.0","Square du Centenaire","1012"
"15","Gare du Nord","0.0","0.0","Legrelle","1027"
"15","Gare du Nord","50.866192","4.338672","Bruxellois","1013"
"15","Gare du Nord","50.871012","4.324470","Miroir","1014"
"15","Gare du Nord","50.867911","4.326561","Broustin","6805"
"15","Gare du Nord","50.865071","4.328340","Parc Elisabeth","4116"
"15","Gare du Nord","0.0","0.0","Simonis","1025"
"15","Gare du Nord","0.0","0.0","Belgica","5009"
"15","Gare du Nord","0.0","0.0","Vanderstichelen","5011"
"15","Gare du Nord","50.864062","4.344119","Picard","1019"
"15","Gare du Nord","0.0","0.0","Tour et Taxis","1020"
"15","Gare du Nord","50.867597","4.336128","Armateurs","1021"
"15","Gare du Nord","0.0","0.0","Willebroek","1016"
"15","Gare du Nord","0.0","0.0","WTC","1022"
"15","Gare du Nord","0.0","0.0","Gare du Nord","1023"
"15","Gare du Nord","50.860080","4.360273","Gare du Nord","1900"
"17","Heiligenborre","50.815413","4.408214","Beaulieu","4297"
"17","Heiligenborre","50.814776","4.403204","Michiels","4298"
"17","Heiligenborre","50.811774","4.401045","Brillant","4299"
