"Type","Zone","Sous-zone","Station","Ligne","Arret","Coord_x","Coord_y"
"00000","000111","0011","1010100","1B","Stockel","50.840858","4.462754"
"00000","000111","0011","1001011","1B","Crainhem","50.848796","4.458719"
"00000","000111","0011","1000001","1B","Alma","50.847868","4.455840"
"00000","000111","0011","0110111","1B","Vandervelde","50.847414","4.447702"
"00000","000111","0011","0101101","1B","Roodebeek","50.847470","4.436562"
"00000","000111","0011","0100011","1B","Tomberg","50.842837","4.424814"
"00000","000111","0011","0011010","1B","Gribaumont","50.842657","4.417829"
"00000","000111","0011","0010000","1B","Josephine-Charlotte","0.0","0.0"
"00000","000111","0011","0000110","1B","Montgomery","50.838006","4.408970"
"00000","000111","0010","1111100","1A/1B","Merode","50.839216","4.398528"
"00000","000111","0010","1110011","1A/1B","Schuman","50.844329","4.384186"
"00000","000111","0010","1101001","1A/1B","Maelbeek","50.844330","4.378052"
"00000","000111","0010","1011111","1A/1B/2","Art-Loi","0.0","0.0"
"00000","000111","0010","1010101","1A/1B","Park","0.0","0.0"
"00000","000111","0010","1001100","1A/1B","Gare Centrale","50.845100","4.359617"
"00000","000111","0010","1000010","1A/1B","De Brouckere","50.851494","4.352876"
"00000","000111","0100","1000000","1A/1B","Sainte Catherine","0.0","0.0"
"00000","000111","0100","1001001","1A/1B","Comte de Flandres","0.0","0.0"
"00000","000111","0100","1010011","1A/1B","Etangs Noirs","50.857124","4.331650"
"00000","001000","0111","0101100","1A/1B","Beekant","0.0","0.0"
"00000","001000","0111","0100010","1B","Gare de l'Ouest","50.848351","4.322094"
"00000","011011","1000","0101111","1B","Jacques Brel","50.841280","4.315397"
"00000","011011","1000","0100101","1B","Aumale","50.839661","4.312403"
"00000","011011","1000","0011011","1B","Saint Guidon","0.0","0.0"
"00000","011011","1000","0010001","1B","Veeweyde","50.827432","4.301067"
"00000","011011","1000","0001000","1B","Bizet","50.825126","4.297987"
"00000","011011","0111","1111110","1B","La Roue","50.820754","4.293579"
"00000","011011","0111","1110100","1B","CERIA","50.816266","4.290209"
"00000","011011","0111","1101011","1B","Eddy Merckx","50.816904","4.279004"
"00000","011011","0111","1100001","1B","Erasme","50.815052","4.266326"
"00000","100000","0101","1000000","1A","Roi Baudouin","50.896310","4.329465"
"00000","100000","0101","0110110","1A","Heysel","50.897592","4.334295"
"00000","100000","0101","0101100","1A","Houba-Brugmann","50.889903","4.336960"
"00000","100000","0101","0100011","1A","Stuyvenbergh","50.886272","4.342107"
"00000","100000","0101","0011001","1A","Bockstael","50.877635","4.347781"
"00000","100000","0101","0001111","1A","Pannehuis","0.0","0.0"
"00000","100000","0101","0000101","1A","Belgica","50.867597","4.336128"
"00000","001101","0011","1011011","1A","Osseghem","50.856387","4.326529"
"00000","001101","0011","1100101","1A/2","Simonis","50.863666","4.329612"
"00000","011010","0101","0010010","1A","Thieffry","50.832934","4.401811"
"00000","011010","0101","0011100","1A","Petillon","50.829732","4.403331"
"00000","011010","0101","0100101","1A","Hankar","50.821815","4.405568"
"00000","011010","0101","0101111","1A","Delta","50.816744","4.405058"
"00000","011010","0101","0111001","1A","Beaulieu","50.815977","4.407516"
"00000","011010","0101","1000011","1A","Demey","50.813187","4.422657"
"00000","011010","0101","1001100","1A","Hermann-Debroux","0.0","0.0"
"00000","001100","0010","0011111","2","Ribaucourt","50.859879","4.341212"
"00000","001100","0010","0001011","2","Yser","50.857103","4.353201"
"00000","001100","0010","0000010","2/PremNS","Rogier","50.855635","4.358040"
"00000","001100","0001","1111000","2","Botanique","50.853156","4.366166"
"00000","001100","0001","1101110","2","Madou","50.849102","4.369937"
"00000","001100","0001","0000011","2","Trone","50.841632","4.364819"
"00000","001100","0001","0001100","2","Porte de Namur","50.839217","4.363777"
"00000","001100","0001","0010110","2","Louise","50.835924","4.356089"
"00000","001100","0001","0100000","2","Hotel des Monnaies","50.833229","4.348571"
"00000","001100","0001","0101010","2/PremNS","Porte de Hal","50.832547","4.342972"
"00000","001100","0001","0110011","2/PremNS","Gare du Midi","50.836497","4.337946"
"00000","001100","0001","0111101","2","Clemenceau","50.841816","4.329864"
"00000","001100","0001","1000111","2","Delacroix","50.845805","4.323060"
"00111","101101","1101","1000100","North-South","Albert","50.821090","4.343888"
"00111","101101","1101","0111010","North-South","Horta","50.825702","4.345490"
"00111","101101","1101","0110001","North-South","Parvis Saint Gilles","0.0","0.0"
"00111","101101","1101","0010011","North-South","Lemonnier","50.840084","4.341039"
"00111","101101","1101","0001001","North-South","Anneessens","50.844184","4.345254"
"00111","101101","1101","0000000","North-South","Bourse","50.847772","4.348972"
"00111","101101","1100","0110010","North-South","Gare du Nord","50.860134","4.359946"
"00111","011111","1001","1100110","West","Diamant","50.848931","4.402428"
"00111","011111","1001","1011100","West","Georges Henri","50.843453","4.405598"
"00111","011111","1010","0110100","West","Boileau","50.832955","4.405187"
